,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature,a1_action_likelihood
0,G_001,action1,action2,0.6666666666666666,0.6365141680948128,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.6666666666666666
1,G_002,action2,action1,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.41666666666666663
2,G_003,action1,action2,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5833333333333334
3,G_004,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.16666666666666663
4,G_005,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.8333333333333334
5,G_006,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.16666666666666663
6,G_007,action2,action1,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.25
7,G_008,action1,action2,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5833333333333334
8,G_009,action2,action1,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.25
9,G_010,action2,action1,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.25
10,G_011,action2,action1,0.9166666666666666,0.28683598285616074,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.08333333333333337
11,G_012,action2,action1,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.41666666666666663
12,G_013,action1,action2,0.6666666666666666,0.6365141680948128,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.6666666666666666
13,G_014,action2,action1,0.9166666666666666,0.28683598285616074,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.08333333333333337
14,G_015,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
15,G_016,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.16666666666666663
16,G_017,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,1.0
17,G_018,action2,action1,0.6666666666666666,0.6365141680948128,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.33333333333333337
18,G_019,action1,action2,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.75
19,G_020,action2,action1,0.9166666666666666,0.28683598285616074,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.08333333333333337
20,G_021,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.8333333333333334
21,G_022,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.16666666666666663
22,G_023,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.8333333333333334
23,G_024,action2,action1,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.25
24,G_025,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,1.0
25,G_026,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.0
26,G_027,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.8333333333333334
27,G_028,action2,action1,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.25
28,G_029,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,1.0
29,G_030,action2,action1,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.25
30,G_031,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.0
31,G_032,action2,action1,0.9166666666666666,0.28683598285616074,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.08333333333333337
