,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature,a1_action_likelihood
0,H_001,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
1,H_002,action1,action2,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5833333333333334
2,H_003,action1,action2,0.6666666666666666,0.6365141680948128,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.6666666666666666
3,H_004,action2,action1,1.0,-1.0000000826903709e-10,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.0
4,H_005,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
5,H_006,action1,action2,0.9166666666666666,0.2868359828561607,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.9166666666666666
6,H_007,action1,action2,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5833333333333334
7,H_008,action2,action1,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.25
8,H_009,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
9,H_010,action2,action1,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.4166666666666666
10,H_011,action2,action1,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.4166666666666666
11,H_012,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.8333333333333334
12,H_013,action2,action1,0.9166666666666666,0.2868359828561607,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.0833333333333333
13,H_014,action2,action1,0.6666666666666666,0.6365141680948128,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.3333333333333333
14,H_015,action2,action1,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.4166666666666666
15,H_016,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
16,H_017,action1,action2,1.0,-1.0000000826903709e-10,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,1.0
17,H_018,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
18,H_019,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
19,H_020,action2,action1,0.9166666666666666,0.2868359828561607,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.0833333333333333
20,H_021,action2,action1,0.6666666666666666,0.6365141680948128,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.3333333333333333
21,H_022,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
22,H_023,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
23,H_024,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.1666666666666666
24,H_025,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
25,H_026,action2,action1,0.6666666666666666,0.6365141680948128,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.3333333333333333
26,H_027,action2,action1,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.25
27,H_028,action1,action2,0.5,0.6931471803599453,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5
28,H_029,action2,action1,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.25
29,H_030,action1,action2,0.6666666666666666,0.6365141680948128,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.6666666666666666
30,H_031,action1,action2,1.0,-1.0000000826903709e-10,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,1.0
31,H_032,action1,action2,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.5833333333333334
32,H_033,action2,action1,1.0,-1.0000000826903709e-10,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.0
33,H_034,action1,action2,0.75,0.5623351444188083,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.75
34,H_035,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.1666666666666666
35,H_036,action2,action1,0.5833333333333334,0.6791932657915257,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.4166666666666666
36,H_037,action2,action1,0.6666666666666666,0.6365141680948128,openai/gpt-3.5-turbo,top_p_sampling,1.0,1.0,0.3333333333333333
