,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature
0,H_001,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
1,H_002,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
2,H_003,action1,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
3,H_004,action1,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
4,H_005,action2,action1,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
5,H_006,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
6,H_007,action2,action1,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
7,H_008,action2,action1,0.9166666666666666,0.2868359828561607,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
8,H_009,action1,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
9,H_010,action2,action1,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
10,H_011,action1,action2,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
11,H_012,action1,action2,0.9166666666666666,0.2868359828561607,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
12,H_013,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
13,H_014,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
14,H_015,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
15,H_016,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
