,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature
0,G_001,invalid,action2,0.8333333333333334,0.4505612086663046,google/gemma-7b,top_p_sampling,1.0,1.0
1,G_002,invalid,action2,0.75,0.5623351444188083,google/gemma-7b,top_p_sampling,1.0,1.0
2,G_003,invalid,action2,0.5,0.6931471803599453,google/gemma-7b,top_p_sampling,1.0,1.0
3,G_004,invalid,action2,0.75,0.5623351444188083,google/gemma-7b,top_p_sampling,1.0,1.0
4,G_005,invalid,action2,1.0,-1.000000082690371e-10,google/gemma-7b,top_p_sampling,1.0,1.0
5,G_006,invalid,action2,1.0,-1.000000082690371e-10,google/gemma-7b,top_p_sampling,1.0,1.0
6,G_007,invalid,action2,0.75,0.5623351444188083,google/gemma-7b,top_p_sampling,1.0,1.0
7,G_008,invalid,action2,0.5833333333333334,0.6791932657915257,google/gemma-7b,top_p_sampling,1.0,1.0
8,G_009,invalid,action2,0.75,0.5623351444188083,google/gemma-7b,top_p_sampling,1.0,1.0
9,G_010,invalid,action2,1.0,-1.000000082690371e-10,google/gemma-7b,top_p_sampling,1.0,1.0
10,G_011,invalid,action2,0.8333333333333334,0.4505612086663046,google/gemma-7b,top_p_sampling,1.0,1.0
11,G_012,invalid,action2,0.75,0.5623351444188083,google/gemma-7b,top_p_sampling,1.0,1.0
12,G_013,invalid,action2,0.5833333333333334,0.6791932657915257,google/gemma-7b,top_p_sampling,1.0,1.0
13,G_014,invalid,action2,0.5833333333333334,0.6791932657915257,google/gemma-7b,top_p_sampling,1.0,1.0
14,G_015,invalid,action2,0.5,0.6931471803599453,google/gemma-7b,top_p_sampling,1.0,1.0
15,G_016,invalid,action2,0.75,0.5623351444188083,google/gemma-7b,top_p_sampling,1.0,1.0
16,G_017,invalid,action2,1.0,-1.000000082690371e-10,google/gemma-7b,top_p_sampling,1.0,1.0
17,G_018,invalid,action2,0.6666666666666666,0.6365141680948128,google/gemma-7b,top_p_sampling,1.0,1.0
18,G_019,invalid,action2,0.9166666666666666,0.28683598285616074,google/gemma-7b,top_p_sampling,1.0,1.0
19,G_020,invalid,action2,1.0,-1.000000082690371e-10,google/gemma-7b,top_p_sampling,1.0,1.0
20,G_021,invalid,action2,1.0,-1.000000082690371e-10,google/gemma-7b,top_p_sampling,1.0,1.0
21,G_022,invalid,action2,0.75,0.5623351444188083,google/gemma-7b,top_p_sampling,1.0,1.0
22,G_023,invalid,action2,0.9166666666666666,0.28683598285616074,google/gemma-7b,top_p_sampling,1.0,1.0
23,G_024,invalid,action2,0.9166666666666666,0.28683598285616074,google/gemma-7b,top_p_sampling,1.0,1.0
24,G_025,invalid,action2,0.8333333333333334,0.4505612086663046,google/gemma-7b,top_p_sampling,1.0,1.0
25,G_026,invalid,action2,1.0,-1.000000082690371e-10,google/gemma-7b,top_p_sampling,1.0,1.0
26,G_027,invalid,action2,0.75,0.5623351444188083,google/gemma-7b,top_p_sampling,1.0,1.0
27,G_028,invalid,action2,0.9166666666666666,0.28683598285616074,google/gemma-7b,top_p_sampling,1.0,1.0
28,G_029,invalid,action2,1.0,-1.000000082690371e-10,google/gemma-7b,top_p_sampling,1.0,1.0
29,G_030,invalid,action2,0.8333333333333334,0.4505612086663046,google/gemma-7b,top_p_sampling,1.0,1.0
