,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature
0,C_001,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
1,C_003,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
2,C_005,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
3,C_010,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
4,C_011,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
5,C_014,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
6,C_015,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
7,C_017,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
8,C_018,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
9,C_019,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
10,C_169,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
11,C_171,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
12,C_173,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
13,C_175,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
14,C_176,action1,action2,0.9166666666666666,0.28683598285616074,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
15,C_178,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
16,C_179,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
17,C_183,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
18,C_185,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
19,C_186,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
20,C_336,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
21,C_337,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
22,C_338,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
23,C_339,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
24,C_340,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
25,C_341,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
26,C_344,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
27,C_345,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
28,C_347,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
29,C_348,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
30,C_513,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
31,C_514,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
32,C_515,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
33,C_516,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
34,C_517,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
35,C_518,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
36,C_521,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
37,C_522,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
38,C_523,action1,action2,1.0,-1.000000082690371e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
