,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature
0,H_097,action1,action2,0.9166666666666666,0.2868359828561607,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
1,H_098,action2,action1,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
2,H_099,action2,action1,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
3,H_100,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
4,G_508,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
5,G_509,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
6,G_510,action1,action2,0.6666666666666666,0.6365141680948128,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
7,G_511,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
8,G_512,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
9,G_513,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
10,G_514,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
11,G_515,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
12,G_516,action2,action1,0.8333333333333334,0.4505612086663046,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
13,G_517,action2,action1,0.75,0.5623351444188083,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
14,G_518,action1,action2,0.8333333333333334,0.4505612086663046,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
15,G_519,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
16,G_520,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
17,G_521,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
18,G_522,action1,action2,0.9166666666666666,0.2868359828561607,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
19,G_523,action2,action1,0.8333333333333334,0.4505612086663046,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
20,G_524,action2,action1,0.9166666666666666,0.2868359828561607,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
21,G_525,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
22,G_526,action1,action2,0.6666666666666666,0.6365141680948128,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
23,G_527,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
24,G_528,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
25,G_529,action1,action2,0.5,0.6931471803599453,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
26,G_530,action1,action2,0.4166666666666667,0.6791932657915257,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
27,G_531,action2,action1,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
28,G_533,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
29,G_534,action1,action2,0.5833333333333334,0.6791932657915257,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
30,G_535,action1,action2,1.0,-1.0000000826903709e-10,meta/llama-3.1-70b,top_p_sampling,1.0,1.0
