,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature,a1_action_likelihood
0,G_001,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
1,G_002,action1,action2,0.9166666666666666,0.28683598285616074,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.9166666666666666
2,G_003,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
3,G_004,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
4,G_005,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
5,G_006,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
6,G_007,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.8333333333333334
7,G_008,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
8,G_009,action1,action2,0.5833333333333334,0.6791932657915257,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.5833333333333334
9,G_010,action2,action1,0.75,0.5623351444188083,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.25
10,G_011,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
11,G_012,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
12,G_013,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
13,G_014,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
14,G_015,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
15,G_016,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
16,G_017,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
17,G_018,action1,action2,0.6666666666666666,0.6365141680948128,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.6666666666666666
18,G_019,action2,action1,0.5833333333333334,0.6791932657915257,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.41666666666666663
19,G_020,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
20,G_021,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
21,G_022,action1,action2,0.6666666666666666,0.6365141680948128,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.6666666666666666
22,G_023,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
23,G_024,action1,action2,0.9166666666666666,0.28683598285616074,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.9166666666666666
24,G_025,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
25,G_026,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
26,G_027,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
27,G_028,action2,action1,0.9166666666666666,0.28683598285616074,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.08333333333333337
28,G_029,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.8333333333333334
29,G_030,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.16666666666666663
30,G_031,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
31,G_032,action2,action1,0.6666666666666666,0.6365141680948128,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.33333333333333337
32,G_033,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
33,G_034,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
34,G_035,action2,action1,0.9166666666666666,0.28683598285616074,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.08333333333333337
35,G_036,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
36,G_037,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.8333333333333334
37,G_038,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
38,G_039,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.8333333333333334
39,G_040,action1,action2,0.6666666666666666,0.6365141680948128,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.6666666666666666
40,G_041,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
41,G_042,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
42,G_043,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.8333333333333334
43,G_044,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.16666666666666663
44,G_045,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
45,G_046,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
46,G_047,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
47,G_048,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
48,G_049,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,1.0
49,G_050,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0,0.0
