,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature
0,H_001,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
1,H_002,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
2,H_003,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
3,H_004,action2,action1,0.9166666666666666,0.28683598285616074,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
4,H_005,action1,action2,0.5833333333333334,0.6791932657915257,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
5,H_006,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
6,H_007,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
7,H_008,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
8,H_009,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
9,H_010,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
10,H_011,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
11,H_012,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
12,H_013,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
13,H_014,action1,action2,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
14,H_015,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
15,H_016,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
16,H_017,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
17,H_018,action1,action2,0.9166666666666666,0.28683598285616074,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
18,H_019,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
19,H_020,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
20,H_021,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
21,H_022,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
22,H_023,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
23,H_024,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
24,H_025,action2,action1,0.6666666666666666,0.6365141680948128,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
25,H_026,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
26,H_027,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
27,H_028,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
28,H_029,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
29,H_030,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
30,H_031,action1,action2,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
31,H_032,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
32,H_033,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
33,H_034,action2,action1,0.8333333333333334,0.4505612086663046,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
34,H_035,action2,action1,1.0,-1.000000082690371e-10,openai/gpt-4o-mini,top_p_sampling,1.0,1.0
